name,latitude,longitude,region,population
Maisons-Laffitte,48.9469,2.1456,Île-de-France,23611
Rochefort,45.9421,-0.9588,Nouvelle-Aquitaine,23583
Les Lilas,48.88,2.42,Île-de-France,23402
Saint-Dizier,48.6383,4.9497,Grand Est,23382
Sèvres,48.8239,2.2117,Île-de-France,23251
Lormont,44.8792,-0.5217,Nouvelle-Aquitaine,23128
Lanester,47.7647,-3.3422,Bretagne,23026
Fontaine,45.1939,5.6856,Auvergne-Rhône-Alpes,22906
Abbeville,50.1058,1.8358,Hauts-de-France,22837
Roissy-en-Brie,48.7906,2.6519,Île-de-France,22836
Grande-Synthe,51.0139,2.3028,Hauts-de-France,22777
Frontignan,43.4483,3.7561,Occitanie,22731
Vélizy-Villacoublay,48.7834,2.1834,Île-de-France,22649
Hérouville-Saint-Clair,49.2044,-0.3253,Normandie,22638
Manosque,43.8342,5.7839,Provence-Alpes-Côte d’Azur,22485
Loos,50.6128,3.0144,Hauts-de-France,22426
Tassin-la-Demi-Lune,45.764,4.78,Auvergne-Rhône-Alpes,22403
Torcy,48.8502,2.6508,Île-de-France,22361
Oyonnax,46.2561,5.6556,Auvergne-Rhône-Alpes,22336
Épernay,49.0403,3.96,Grand Est,22330
Le Petit-Quevilly,49.4311,1.0539,Normandie,22291
Saint-Mandé,48.8422,2.4186,Île-de-France,22248
Auch,43.6465,0.5855,Occitanie,22200
Dammarie-lè-Lys,48.5177,2.6402,Île-de-France,22177
Olivet,47.8639,1.9006,Centre-Val de Loire,22168
Deuil-la-Barre,48.9767,2.3272,Île-de-France,22165
Sainte-Foy-lès-Lyon,45.73,4.8,Auvergne-Rhône-Alpes,22141
Millau,44.0986,3.0783,Occitanie,22002
Chaumont,48.1117,5.1389,Grand Est,21990
La Madeleine,50.6558,3.071,Hauts-de-France,21968
Villeneuve-sur-Lot,44.4081,0.705,Nouvelle-Aquitaine,21915
Couëron,47.2156,-1.7228,Pays de la Loire,21862
Castelnau-le-Lez,43.6369,3.9019,Occitanie,21838
Mandelieu-la-Napoule,43.5464,6.9381,Provence-Alpes-Côte d’Azur,21836
Combs-la-Ville,48.67,2.56,Île-de-France,21811
Montigny-lès-Metz,49.1006,6.1539,Grand Est,21749
Arcueil,48.8075,2.3361,Île-de-France,21721
Forbach,49.19,6.9,Grand Est,21652
Montmorency,48.9906,2.3228,Île-de-France,21647
Saint-Louis,47.59,7.57,Grand Est,21646
Montigny-lès-Cormeilles,48.9944,2.1958,Île-de-France,21638
Seynod,45.8889,6.0961,Auvergne-Rhône-Alpes,21595
Gujan-Mestras,44.6364,-1.0667,Nouvelle-Aquitaine,21543
Le Creusot,46.8014,4.4411,Bourgogne-Franche-Comté,21491
Les Pennes-Mirabeau,43.4106,5.3103,Provence-Alpes-Côte d’Azur,21411
Annecy-le-Vieux,45.9192,6.1419,Auvergne-Rhône-Alpes,21390
Gardanne,43.4553,5.476,Provence-Alpes-Côte d’Azur,21376
Hazebrouck,50.725,2.5392,Hauts-de-France,21353
Gif-sur-Yvette,48.7018,2.1339,Île-de-France,21308
Villeneuve-le-Roi,48.7333,2.4167,Île-de-France,21214
Achères,48.9602,2.0684,Île-de-France,21098
Croix,50.6781,3.1508,Hauts-de-France,21087
Le Mée-sur-Seine,48.5333,2.6289,Île-de-France,21071
Fleury-les-Aubrais,47.9312,1.921,Centre-Val de Loire,21070
Saint-Jean-de-Braye,47.9128,1.9719,Centre-Val de Loire,21054
Saint-Genis-Laval,45.696,4.793,Auvergne-Rhône-Alpes,21019
Mons-en-Baroeul,50.6369,3.1103,Hauts-de-France,21017
Longjumeau,48.6943,2.2958,Île-de-France,20964
Coudekerque-Branche,51.0253,2.3917,Hauts-de-France,20925
Neuilly-Plaisance,48.8619,2.5064,Île-de-France,20915
Challans,46.8467,-1.8781,Pays de la Loire,20898
Saint-Gratien,48.9719,2.2828,Île-de-France,20893
Allauch,43.3369,5.4828,Provence-Alpes-Côte d’Azur,20860
La Celle-Saint-Cloud,48.8411,2.1344,Île-de-France,20830
Sarreguemines,49.11,7.07,Grand Est,20820
Halluin,50.7836,3.1256,Hauts-de-France,20808
Bourg-la-Reine,48.7796,2.3151,Île-de-France,20769
Dax,43.71,-1.05,Nouvelle-Aquitaine,20762
Montereau-faut-Yonne,48.3853,2.9508,Île-de-France,20712
Beaune,47.025,4.8397,Bourgogne-Franche-Comté,20711
Chaville,48.8086,2.1886,Île-de-France,20702
Morsang-sur-Orge,48.6618,2.3461,Île-de-France,20619
Fougères,48.3525,-1.1986,Bretagne,20528
Mantes-la-Ville,48.975,1.7117,Île-de-France,20499
Wasquehal,50.6694,3.1308,Hauts-de-France,20485
Saint-Pol-sur-Mer,51.0314,2.3439,Hauts-de-France,20479
Pertuis,43.695,5.5036,Provence-Alpes-Côte d’Azur,20397
Mitry-Mory,48.9839,2.6164,Île-de-France,20353
Nogent-sur-Oise,49.2756,2.4683,Hauts-de-France,20298
Voiron,45.3642,5.5906,Auvergne-Rhône-Alpes,20248
Ozoir-la-Ferrière,48.778,2.68,Île-de-France,20191
Lisieux,49.15,0.23,Normandie,20171
Cournon-d’Auvergne,45.7422,3.1972,Auvergne-Rhône-Alpes,20157
Givors,45.5906,4.7689,Auvergne-Rhône-Alpes,20121
Lannion,48.7325,-3.4553,Bretagne,20040
Carquefou,47.2969,-1.4928,Pays de la Loire,20032
Le Plessis-Trévise,48.8111,2.5717,Île-de-France,20025
Saint-Michel-sur-Orge,48.6325,2.3028,Île-de-France,19965
Denain,50.3286,3.395,Hauts-de-France,19933
Cahors,44.4475,1.4406,Occitanie,19907
